breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
year,1972,PTS,0.982233248,0.117532065,Outlier,Shape,0.1154439019999999,193,58083,*,*,*,23,*,*,61,26.066782,44.494083
lg_name,NBA,PTS,0.901255666,0.117532065,Attribution,Point,0.10592644,233,58083,*,*,*,23,*,*,62,21.454647,17.287241
year,-1,AST,0.281134095,0.117532065,Trend,Shape,0.033042271,324,58083,*,*,*,23,*,*,63,-28.156685,49.28154
pos_name,PG,AST,0.950582839,0.117532065,Top1,Point,0.111723964,377,58083,*,*,*,23,*,*,64,-41.181442,17.11278
year,1967,AST,1.0,0.117532065,Change Point,Shape,0.117532065,443,58083,*,*,*,23,*,*,65,-28.156477,49.28113
year,1975,AST,0.967298107,0.117532065,Outlier,Shape,0.113688544,493,58083,*,*,*,23,*,*,66,-28.156595,49.281097
pos_name,PG,AST,0.308150117,0.117532065,Attribution,Point,0.03621752,513,58083,*,*,*,23,*,*,67,-41.18147,17.112764
lg_name,NBA,AST,0.914539538,0.117532065,Attribution,Point,0.10748772,533,58083,*,*,*,23,*,*,68,-41.2022,17.099455
year,-1,PTS;AST,0.7157015170000001,0.117532065,Clustering,Compound Shape,0.071016114,550,58083,*,*,*,23,*,*,69,-28.714998,48.420303
team_name,-1,PTS;AST,0.7696079029999999,0.117532065,Clustering,Compound Shape,0.0712194709999999,551,58083,*,*,*,23,*,*,70,-34.013565,20.516632
name,-1,PTS;AST,0.65365492,0.117532065,Clustering,Compound Shape,0.095355793,576,58083,*,*,*,23,*,*,71,-33.725216,20.58168
team_name,-1,PTS;AST,0.980423404,0.117532065,Cross Measure Correlation,Compound,0.115231187,602,58083,*,*,*,23,*,*,72,-34.013565,20.516632
year,-1,PTS,0.292516827,0.095789825,Trend,Shape,0.028020136,14,58086,*,*,*,26,*,*,73,28.393948,43.810085
team_name,TOT,PTS,0.979126376,0.095789825,Top1,Point,0.093790344,99,58086,*,*,*,26,*,*,74,22.621828,17.034939
year,1967,PTS,1.0,0.095789825,Change Point,Shape,0.095789825,114,58086,*,*,*,26,*,*,75,28.394033,43.809467
year,1971,PTS,0.987227116,0.095789825,Outlier,Shape,0.094566313,178,58086,*,*,*,26,*,*,76,28.393644,43.810516
lg_name,NBA,PTS,0.91251737,0.095789825,Attribution,Point,0.087409879,249,58086,*,*,*,26,*,*,77,22.445492,16.80516
year,-1,AST,0.2826559369999999,0.095789825,Trend,Shape,0.0270755629999999,313,58086,*,*,*,26,*,*,78,-28.558744,54.15055
pos_name,PG,AST,0.993865949,0.095789825,Top1,Point,0.095202245,366,58086,*,*,*,26,*,*,79,-44.694588,19.6692
team_name,TOT,AST,0.967011444,0.095789825,Top1,Point,0.092629857,374,58086,*,*,*,26,*,*,80,-44.733055,19.954435
year,1967,AST,1.0,0.095789825,Change Point,Shape,0.095789825,414,58086,*,*,*,26,*,*,81,-28.561037,54.150127
year,1973,AST,0.972465263,0.095789825,Outlier,Shape,0.0931522769999999,478,58086,*,*,*,26,*,*,82,-28.561136,54.150658
pos_name,PG,AST,0.333825213,0.095789825,Attribution,Point,0.031977059,505,58086,*,*,*,26,*,*,83,-44.694614,19.669203
lg_name,NBA,AST,0.918523082,0.095789825,Attribution,Point,0.087985165,549,58086,*,*,*,26,*,*,84,-44.748,19.627518
name,-1,PTS;AST,0.663130698,0.095789825,Clustering,Compound Shape,0.078167036,561,58086,*,*,*,26,*,*,85,-33.096104,21.010588
year,-1,PTS,0.3918871929999999,0.06379631,Trend,Shape,0.025000957,15,58089,*,*,*,29,*,*,86,31.929913,40.927048
team_name,TOT,PTS,0.777563005,0.06379631,Top1,Point,0.04960565,80,58089,*,*,*,29,*,*,87,20.218,16.86896
year,1967,PTS,1.0,0.06379631,Change Point,Shape,0.06379631,137,58089,*,*,*,29,*,*,88,31.930687,40.9272
year,1989,PTS,0.974832692,0.06379631,Outlier,Shape,0.062190728,168,58089,*,*,*,29,*,*,89,31.929956,40.92664
lg_name,NBA,PTS,0.926545432,0.06379631,Attribution,Point,0.059110179,248,58089,*,*,*,29,*,*,90,20.274256,16.7412
year,-1,AST,0.3707721129999999,0.06379631,Trend,Shape,0.023653893,315,58089,*,*,*,29,*,*,91,-25.065561,51.936928
team_name,TOT,AST,0.839158269,0.06379631,Top1,Point,0.053535201,354,58089,*,*,*,29,*,*,92,-44.49622,13.64456
pos_name,PG,AST,0.959837224,0.06379631,Top1,Point,0.061234073,355,58089,*,*,*,29,*,*,93,-44.518238,13.693718
year,1967,AST,1.0,0.06379631,Change Point,Shape,0.06379631,437,58089,*,*,*,29,*,*,94,-25.065535,51.93683
year,1992,AST,0.981331756,0.06379631,Outlier,Shape,0.062605344,468,58089,*,*,*,29,*,*,95,-25.065605,51.9368
lg_name,NBA,AST,0.929141527,0.06379631,Attribution,Point,0.0592758,548,58089,*,*,*,29,*,*,96,-44.54948,13.708931
year,-1,PTS,0.389733034,0.094979259,Trend,Shape,0.037016555,16,182473,*,*,TOT,*,NBA,*,97,36.689953,-49.569458
age,26,PTS,0.8306748429999999,0.094979259,Top1,Point,0.078896881,96,182473,*,*,TOT,*,NBA,*,98,-32.134468,-6.01669
year,1983,PTS,1.0,0.094979259,Change Point,Shape,0.094979259,145,182473,*,*,TOT,*,NBA,*,99,36.69091,-49.57072
year,2011,PTS,0.998956804,0.094979259,Outlier,Shape,0.094880177,194,182473,*,*,TOT,*,NBA,*,100,36.691025,-49.570797
year,-1,AST,0.4170425989999999,0.094979259,Trend,Shape,0.039610397,336,182473,*,*,TOT,*,NBA,*,101,-30.571608,-39.749245
pos_name,PG,AST,0.999963577,0.094979259,Top1,Point,0.0949758,376,182473,*,*,TOT,*,NBA,*,102,-29.890839,-4.1150513
age,26,AST,0.803917357,0.094979259,Top1,Point,0.076355475,380,182473,*,*,TOT,*,NBA,*,103,-29.873226,-4.1015906
year,1955,AST,1.0,0.094979259,Change Point,Shape,0.094979259,445,182473,*,*,TOT,*,NBA,*,104,-30.57144,-39.749355
year,2011,AST,0.998852438,0.094979259,Outlier,Shape,0.094870264,494,182473,*,*,TOT,*,NBA,*,105,-30.57169,-39.74925
pos_name,PG,AST,0.358852787,0.094979259,Attribution,Point,0.034083572,510,182473,*,*,TOT,*,NBA,*,106,-29.89083,-4.1154904
name,-1,PTS;AST,0.681788398,0.094979259,Clustering,Compound Shape,0.077005484,562,182473,*,*,TOT,*,NBA,*,107,-30.38872,-4.513739
