breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
pos_name,PG,AST,0.993033563,0.052066943,Top1,Point,0.051704222,358,215460,"[0.22434559853663325, 0.06314840730167923]","[-0.004798114621285193, -0.003786988187711139]","[0.00016703922658325952, -2.59461618316769e-05]","[-12.627959251403809, 24.938304901123047]",-12.627959251403807,24.93830490112305,"[-34.59124548034106, -21.852567472582113]","[-0.000926952971244592, -6.542039400312689e-18]","[-0.006671350698923562, 0.028622267532326436]","[18.060218811035156, -16.558643341064453]"
year,1992,AST,1.0,0.052066943,Change Point,Shape,0.052066943,405,215460,"[0.22434554352848862, 0.0631482433457257]","[-0.004798114621285188, -0.0037869881877111385]","[0.00016703922658325908, -2.5946161831677618e-05]","[-12.482392311096191, 24.82784652709961]",-12.482392311096193,24.82784652709961,"[-34.59124547875916, -21.852567464989548]","[-0.000926952971244593, 7.632406457339925e-18]","[-0.00667135069892337, 0.028622267532326356]","[18.060218811035156, -16.558643341064453]"
year,1996,AST,0.984582594,0.052066943,Outlier,Shape,0.051264206,492,215460,"[0.22434559725686137, 0.0631484034872827]","[-0.004798114621285187, -0.0037869881877111503]","[0.00016703922658325973, -2.5946161831675968e-05]","[-12.265198707580566, 24.817209243774414]",-12.265198707580565,24.81720924377441,"[-34.59124547875959, -21.8525674649915]","[-0.0009269529712445935, 1.090343228540465e-17]","[-0.00667135069892337, 0.0286222675323262]","[18.02739715576172, -16.97486114501953]"
year,-1,PTS,0.59279884,0.023649454,Trend,Shape,0.0140193689999999,7,215472,"[0.2692751791748938, 0.02800755273272318]","[-0.004798114621285195, -0.005612111626844987]","[0.00013335412476897764, -0.00031250339838775936]","[-4.466592311859131, 14.573454856872559]",-4.466592311859131,14.57345485687256,"[-13.159274967552575, -28.35996365186854]","[-0.0009269529712445886, 7.175295058954466e-18]","[37.49095412728727, 0.33234146939340714]","[8.227693557739258, -3.912479877471924]"
year,-1,AST,0.583803903,0.023649454,Trend,Shape,0.013806644,307,215472,"[0.2692782907281203, 0.02796324746567337]","[-0.004798114621285195, -0.005612111626844987]","[0.00013335412476897727, -0.00031250339838776196]","[-4.466527938842773, 14.573551177978516]",-4.466527938842773,14.573551177978516,"[-13.159274967634623, -28.359963651736493]","[-0.0009269529712445851, 5.580777001552725e-18]","[37.49095412728725, 0.33234146939340714]","[8.227681159973145, -3.912480115890503]"
year,-1,PTS,0.300473186,0.028226768,Trend,Shape,0.008481387,8,182475,"[0.2626433865780172, 0.02780762320385284]","[-0.004798114621285186, -0.005493509887352247]","[3.354350231474153e-05, -0.02525464724884559]","[-4.755290508270264, 16.204452514648438]",-4.755290508270264,16.204452514648438,"[-14.18653056003399, -22.28041811354633]","[-0.0009269529712445912, 4.91505438964674e-18]","[-14.907081127706773, 36.028325215309266]","[8.459822654724121, -1.458524227142334]"
year,-1,AST,0.390980295,0.028226768,Trend,Shape,0.01103611,342,182475,"[0.26259878860186325, 0.028105626558766056]","[-0.004798114621285186, -0.005493509887352252]","[3.354350231474514e-05, -0.02525464724884558]","[-4.755091190338135, 16.204458236694336]",-4.755091190338135,16.204458236694336,"[-14.186530560028787, -22.280418113548777]","[-0.0009269529712445907, 4.09587315144595e-18]","[-14.907081127706785, 36.02832521530926]","[8.459816932678223, -1.458524227142334]"
year,-1,PTS,0.288189199,0.027988366,Trend,Shape,0.008065945,9,182472,"[0.2638285136490645, 0.019230503628490266]","[-0.004798114621285186, -0.005493509887352253]","[4.164014263135677e-05, -0.016309076451935786]","[-5.677669048309326, 13.728513717651367]",-5.677669048309326,13.728513717651367,"[-17.629655889519615, -25.82901426919061]","[-0.0009269529712445907, 7.175301637158109e-18]","[-14.655984830157205, -23.906847834325966]","[9.470187187194824, -2.820173740386963]"
year,-1,AST,0.3891603489999999,0.027988366,Trend,Shape,0.010891962,304,182472,"[0.26382875298593517, 0.019205797501677148]","[-0.004798114621285184, -0.0054935098873522435]","[4.164014263135226e-05, -0.01630907645193579]","[-5.677670955657959, 13.72850227355957]",-5.677670955657959,13.72850227355957,"[-17.62965588903891, -25.829014268689246]","[-0.0009269529712445911, 7.972560319398625e-18]","[-14.655984830157212, -23.906847834325966]","[9.47019100189209, -2.820173740386963]"
year,-1,PTS,0.488706245,0.027749964,Trend,Shape,0.013561581,10,58093,"[0.2648640225265177, 0.035348819383119574]","[-0.004798114621285182, -0.005594411320273616]","[7.01207964162948e-05, 0.042000014014893707]","[-2.9630537033081055, 14.335943222045898]",-2.963053703308105,14.335943222045898,"[-16.151890745989256, -30.598093754366502]","[-0.0009269529712445882, 8.36858637434014e-18]","[-13.588759685479015, -3.3792664507179087]","[10.209254264831543, -4.933535099029541]"
lg_name,NBA,PTS,0.944003542,0.027749964,Attribution,Point,0.026196065,201,58093,"[0.2648613521155742, 0.03536102991002683]","[-0.004798114621285187, -0.005594411320273619]","[7.012079641628375e-05, 0.042000014014893707]","[-2.963099241256714, 14.33546257019043]",-2.963099241256714,14.33546257019043,"[-16.151891352282686, -30.598093387020295]","[-0.0009269529712445907, 7.687031345882787e-18]","[-13.588759685479017, -3.37926645071791]","[10.20925521850586, -4.933535099029541]"
year,-1,AST,0.460958895,0.027749964,Trend,Shape,0.012791593,322,58093,"[0.26501608028367457, 0.034649223382413205]","[-0.00479811462128519, -0.005594411320273624]","[7.012079641629997e-05, 0.04200001401489371]","[-2.963050365447998, 14.33594799041748]",-2.963050365447998,14.33594799041748,"[-16.151890570349124, -30.59809386078455]","[-0.0009269529712445937, 7.643730685755449e-18]","[-13.588759685479012, -3.3792664507179127]","[10.20925521850586, -4.933535575866699]"
year,-1,PTS,0.245873326,0.104467649,Trend,Shape,0.0256858079999999,11,58085,"[0.1555483401793954, 0.08656323582269797]","[-0.004798114621285183, -0.0029557982013259094]","[0.000167039226583259, -2.5946161831676967e-05]","[12.120037078857422, 12.827692985534668]",12.120037078857422,12.827692985534668,"[22.344323817856232, -31.53392652826544]","[-0.0009269529712445881, -4.308429179925139e-18]","[-0.006671350698923565, 0.028622267532326526]","[-10.115279197692871, 2.131915807723999]"
year,1967,PTS,1.0,0.104467649,Change Point,Shape,0.104467649,149,58085,"[0.15158822558822035, -0.009183584132756006]","[-0.004798114621285196, -0.00295579820132591]","[0.0001670392265832592, -2.5946161831676496e-05]","[11.662632942199707, 12.72635269165039]",11.662632942199707,12.72635269165039,"[22.34432381788463, -31.533926528166788]","[-0.0009269529712445881, -1.0770535258832017e-18]","[-0.00667135069892337, 0.028622267532326173]","[-9.995776176452637, 1.8251924514770508]"
year,1970,PTS,0.993992273,0.104467649,Outlier,Shape,0.103840036,179,58085,"[0.15159009231517087, -0.009119391432930151]","[-0.004798114621285194, -0.002955798201325907]","[0.0001670392265832595, -2.5946161831678008e-05]","[11.662632942199707, 12.72635269165039]",11.662632942199707,12.72635269165039,"[22.344323817847147, -31.533926528297183]","[-0.0009269529712445868, -2.1541788295866757e-18]","[-0.006671350698923973, 0.028622267532326526]","[-9.999594688415527, 1.8253602981567383]"
lg_name,NBA,PTS,0.905238508,0.104467649,Attribution,Point,0.094568139,241,58085,"[0.155548340349673, 0.08656323677454936]","[-0.004798114621285187, -0.0029557982013259125]","[0.00016703922658326, -2.5946161831675968e-05]","[12.268879890441895, 12.697598457336426]",12.268879890441895,12.697598457336426,"[22.344322857664913, -31.53392986799265]","[-0.0009269529712445833, 5.385697559530047e-18]","[-0.006671350698923169, 0.028622267532326228]","[-9.999594688415527, 1.8253602981567383]"
year,-1,AST,0.258969632,0.104467649,Trend,Shape,0.027053949,311,58085,"[0.15554834032385056, 0.08656323663020195]","[-0.004798114621285191, -0.0029557982013259172]","[0.00016703922658325816, -2.5946161831678387e-05]","[12.27371883392334, 12.691485404968262]",12.27371883392334,12.691485404968262,"[22.344323818858495, -31.533926524779734]","[-0.0009269529712445845, 1.0771967414223766e-18]","[-0.006671350698923164, 0.028622267532326162]","[-10.115279197692871, 2.131915807723999]"
pos_name,PG,AST,0.995894612,0.104467649,Top1,Point,0.104038769,385,58085,"[0.1515900637485764, -0.009120313379026152]","[-0.004798114621285188, -0.0029557982013259116]","[0.00016703922658325917, -2.5946161831676994e-05]","[11.662632942199707, 12.72635269165039]",11.662632942199707,12.72635269165039,"[22.34432381877361, -31.533926525074975]","[-0.00092695297124458, 7.186106272259046e-23]","[-0.006671350698924169, 0.02862226753232656]","[-10.494833946228027, 2.3296074867248535]"
year,1967,AST,1.0,0.104467649,Change Point,Shape,0.104467649,449,58085,"[0.1515882237926323, -0.00918365034261121]","[-0.004798114621285192, -0.0029557982013259047]","[0.0001670392265832591, -2.5946161831677415e-05]","[11.662632942199707, 12.72635269165039]",11.662632942199707,12.72635269165039,"[22.344323817830535, -31.533926528354797]","[-0.0009269529712445871, -3.231303954507094e-18]","[-0.006671350698923973, 0.028622267532326703]","[-10.494833946228027, 2.3296074867248535]"
year,1974,AST,0.959877522,0.104467649,Outlier,Shape,0.100276148,464,58085,"[0.15158992285381648, -0.009124884650925553]","[-0.004798114621285192, -0.0029557982013259216]","[0.0001670392265832591, -2.594616183167736e-05]","[12.035222053527832, 12.863561630249023]",12.035222053527832,12.863561630249025,"[22.344323818774306, -31.533926525072534]","[-0.0009269529712445891, 2.154321906180445e-18]","[-0.006671350698923166, 0.02862226753232598]","[-10.494833946228027, 2.3296074867248535]"
pos_name,PG,AST,0.337138426,0.104467649,Attribution,Point,0.035220059,530,58085,"[0.15554833945999702, 0.08656323180126428]","[-0.0047981146212851935, -0.002955798201325919]","[0.00016703922658325846, -2.594616183167721e-05]","[12.271398544311523, 12.694363594055176]",12.271398544311525,12.694363594055176,"[22.344323818774452, -31.533926525072122]","[-0.0009269529712445878, -4.308429376584953e-18]","[-0.0066713506989237665, 0.028622267532326506]","[-10.115279197692871, 2.131915807723999]"
lg_name,NBA,AST,0.91452761,0.104467649,Attribution,Point,0.095538549,541,58085,"[0.15552434775995336, 0.08642840112788276]","[-0.004798114621285196, -0.0029557982013259103]","[0.00016703922658325827, -2.594616183167809e-05]","[11.662632942199707, 12.72635269165039]",11.662632942199707,12.72635269165039,"[22.34432381786814, -31.53392652822459]","[-0.000926952971244585, -4.308429255969347e-18]","[-0.0066713506989227785, 0.028622267532326044]","[-10.115279197692871, 2.131915807723999]"
name,-1,PTS;AST,0.625252815,0.104467649,Clustering,Compound Shape,0.083212854,557,58085,"[0.15553981075218862, 0.08651546588737109]","[-0.004798114621285192, -0.0029557982013259164]","[0.00016703922658325879, -2.59461618316777e-05]","[12.069278717041016, 12.851975440979004]",12.069278717041016,12.851975440979006,"[22.34432381877437, -31.533926525072317]","[-0.0009269529712445859, -3.2313038128701168e-18]","[-0.006671350698923172, 0.028622267532326183]","[-10.494833946228027, 2.3296074867248535]"
year,-1,PTS,0.483179535,0.066990893,Trend,Shape,0.0323686289999999,12,215458,"[0.19924155106383076, 0.03990048241053458]","[-0.004798114621285187, 0.00036657983014281074]","[0.0001670392265832597, -2.5946161831676496e-05]","[-17.36441993713379, 4.10078763961792]",-17.36441993713379,4.10078763961792,"[-40.19501111219259, -34.97309396321269]","[-0.0009269529712445909, -2.194276062697333e-18]","[-0.006671350698923569, 0.028622267532326454]","[22.509746551513672, -5.632243633270264]"
year,1968,PTS,1.0,0.066990893,Change Point,Shape,0.066990893,134,215458,"[0.1992360157872082, 0.039825558686910636]","[-0.004798114621285192, 0.00036657983014281323]","[0.00016703922658325879, -2.5946161831677953e-05]","[-17.604217529296875, 4.2545366287231445]",-17.604217529296875,4.2545366287231445,"[-40.19501111226016, -34.97309396306962]","[-0.0009269529712445912, -1.535990150591326e-17]","[-0.0066713506989233675, 0.028622267532326252]","[22.509746551513672, -5.632243633270264]"
year,1992,PTS,0.984985921,0.066990893,Outlier,Shape,0.065985087,174,215458,"[0.19923606058103105, 0.03982617041600936]","[-0.004798114621285183, 0.0003665798301428058]","[0.00016703922658325946, -2.5946161831677103e-05]","[-17.61951446533203, 4.28184175491333]",-17.61951446533203,4.28184175491333,"[-40.195011112260175, -34.97309396306962]","[-0.0009269529712445902, -2.1942760859784436e-18]","[-0.006671350698923169, 0.028622267532326277]","[22.865686416625977, -5.698986530303955]"
year,-1,AST,0.434613679,0.066990893,Trend,Shape,0.0291151589999999,312,215458,"[0.1992410316036451, 0.03989350747271866]","[-0.004798114621285198, 0.00036657983014281323]","[0.00016703922658325851, -2.594616183167775e-05]","[-17.36441421508789, 4.100787162780762]",-17.36441421508789,4.100787162780762,"[-40.195011112201776, -34.9730939631929]","[-0.0009269529712445896, -9.874224335719783e-18]","[-0.006671350698923968, 0.028622267532326426]","[22.509746551513672, -5.632243633270264]"
pos_name,PG,AST,0.985938323,0.066990893,Top1,Point,0.066048889,372,215458,"[0.1992334904871169, 0.039790924564283056]","[-0.004798114621285185, 0.0003665798301428066]","[0.00016703922658325873, -2.594616183167702e-05]","[-17.618165969848633, 4.279657363891602]",-17.618165969848633,4.2796573638916025,"[-40.19501111224029, -34.973093963111346]","[-0.0009269529712445894, -1.9748443360440132e-17]","[-0.006671350698923571, 0.028622267532326415]","[22.509746551513672, -5.632243633270264]"
year,1996,AST,1.0,0.066990893,Change Point,Shape,0.066990893,434,215458,"[0.19923138609288568, 0.039761838182515614]","[-0.0047981146212851865, 0.0003665798301428066]","[0.00016703922658325854, -2.594616183167809e-05]","[-17.620620727539062, 4.283811569213867]",-17.620620727539062,4.283811569213866,"[-40.19501110981087, -34.97309396826138]","[-0.0009269529712445891, -1.5359901651277458e-17]","[-0.006671350698923175, 0.02862226753232583]","[22.866352081298828, -5.699350357055664]"
year,1991,AST,0.988104632,0.066990893,Outlier,Shape,0.066194012,487,215458,"[0.19924164641010084, 0.03990176141118098]","[-0.004798114621285193, 0.0003665798301428099]","[0.00016703922658325908, -2.5946161831677537e-05]","[-17.36441421508789, 4.100787162780762]",-17.36441421508789,4.100787162780762,"[-40.19501111225987, -34.97309396307005]","[-0.0009269529712445906, -1.4262766098922223e-17]","[-0.006671350698923775, 0.028622267532326526]","[22.509746551513672, -5.632243633270264]"
