x,y
-26.904537,66.140724
-28.998669,65.51981
-28.08931,66.279854
-29.919424,66.20205
-26.94008,67.287125
-23.107986,19.652151
-23.419033,20.762178
-22.078835,19.34871
-23.231707,17.540342
-29.003622,66.89647
-30.306974,69.6217
-22.8483,18.622816
-27.569187,68.41048
16.508503,-78.85372
-11.053018,47.125694
-10.326135,45.999027
16.018696,-78.924225
16.438559,-78.38163
-8.803425,46.591633
-10.117916,47.447384
15.946373,-78.454895
-11.054033,47.12199
-10.326311,45.997425
15.523273,-75.06115
-85.24824,-67.79917
-85.54897,-66.08085
-85.24379,-67.801254
15.523929,-75.05813
-85.5501,-66.080055
-84.80657,-67.94321
-70.82037,-46.303097
36.63923,50.15663
-70.82009,-46.30335
-70.82042,-46.303326
36.61814,50.175064
21.826145,-1.2022105
27.56934,24.890015
21.826492,-1.2021928
21.82616,-1.2022109
27.564259,24.966238
-66.72657,53.398304
-26.689758,-1.0936643
-66.67952,53.39347
-66.69793,53.42833
-26.692554,-1.0929792
-61.85397,-12.785389
59.21723,51.14899
-61.86077,-12.83135
-61.8539,-12.785508
59.208157,51.194763
-8.52695,-73.838135
-8.075578,27.293045
-6.802534,-74.11729
-6.802688,-74.11775
-8.52812,-73.83625
-6.3419003,-73.98844
-8.076013,27.293829
-93.17415,70.06326
2.6131635,86.78539
2.693453,86.85207
-93.17347,70.06366
-93.16076,70.081085
-21.65933,108.47167
-14.194796,-86.8845
-21.613195,108.50743
-21.647692,108.51043
27.177883,-59.48269
93.81499,-31.841377
92.51613,-30.729849
27.178608,-59.48466
93.813866,-31.841938
94.18964,-32.141056
92.516304,-30.729633
-61.278168,59.059483
-29.057875,-4.467221
-61.278442,59.059483
-61.27886,59.059387
-29.05777,-4.46706
-58.05078,-19.009926
59.459427,46.17976
-58.050495,-19.009884
-58.050606,-19.010092
59.457462,46.141727
-10.102246,29.703054
43.24129,83.765495
44.74,84.70967
43.224915,83.76957
44.738968,84.70863
45.209846,84.79726
-10.102568,29.70087
-54.018486,-68.41292
30.421297,47.00383
-54.01861,-68.412704
-54.0182,-68.412766
30.44838,47.071995
2.4821115,-11.6932125
21.5076,31.267944
