breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,index,x,y
year,-1,PTS;AST,0.7157015170000001,0.117532065,Clustering,Compound Shape,0.071016114,550,58083,*,*,*,23,*,*,69,-64.01318,6.091637
team_name,-1,PTS;AST,0.7696079029999999,0.117532065,Clustering,Compound Shape,0.0712194709999999,551,58083,*,*,*,23,*,*,70,41.59763,-40.021156
name,-1,PTS;AST,0.65365492,0.117532065,Clustering,Compound Shape,0.095355793,576,58083,*,*,*,23,*,*,71,41.75083,-39.771652
team_name,-1,PTS;AST,0.980423404,0.117532065,Cross Measure Correlation,Compound,0.115231187,602,58083,*,*,*,23,*,*,72,41.597633,-40.021152
year,-1,PTS,0.292516827,0.095789825,Trend,Shape,0.028020136,14,58086,*,*,*,26,*,*,73,-13.15113,31.60264
team_name,TOT,PTS,0.979126376,0.095789825,Top1,Point,0.093790344,99,58086,*,*,*,26,*,*,74,62.009228,18.178638
year,1967,PTS,1.0,0.095789825,Change Point,Shape,0.095789825,114,58086,*,*,*,26,*,*,75,-13.151122,31.60226
year,1971,PTS,0.987227116,0.095789825,Outlier,Shape,0.094566313,178,58086,*,*,*,26,*,*,76,-13.151127,31.602526
lg_name,NBA,PTS,0.91251737,0.095789825,Attribution,Point,0.087409879,249,58086,*,*,*,26,*,*,77,62.260868,18.320675
year,-1,AST,0.2826559369999999,0.095789825,Trend,Shape,0.0270755629999999,313,58086,*,*,*,26,*,*,78,-65.51196,9.314831
pos_name,PG,AST,0.993865949,0.095789825,Top1,Point,0.095202245,366,58086,*,*,*,26,*,*,79,34.33585,-43.759907
team_name,TOT,AST,0.967011444,0.095789825,Top1,Point,0.092629857,374,58086,*,*,*,26,*,*,80,34.43132,-43.48551
year,1967,AST,1.0,0.095789825,Change Point,Shape,0.095789825,414,58086,*,*,*,26,*,*,81,-65.51638,9.314843
year,1973,AST,0.972465263,0.095789825,Outlier,Shape,0.0931522769999999,478,58086,*,*,*,26,*,*,82,-65.51462,9.314782
pos_name,PG,AST,0.333825213,0.095789825,Attribution,Point,0.031977059,505,58086,*,*,*,26,*,*,83,34.33597,-43.759903
lg_name,NBA,AST,0.918523082,0.095789825,Attribution,Point,0.087985165,549,58086,*,*,*,26,*,*,84,34.274097,-43.78512
name,-1,PTS;AST,0.663130698,0.095789825,Clustering,Compound Shape,0.078167036,561,58086,*,*,*,26,*,*,85,42.361275,-39.330112
year,-1,PTS,0.3918871929999999,0.06379631,Trend,Shape,0.025000957,15,58089,*,*,*,29,*,*,86,-15.954033,32.46652
team_name,TOT,PTS,0.777563005,0.06379631,Top1,Point,0.04960565,80,58089,*,*,*,29,*,*,87,63.810078,20.548042
year,1967,PTS,1.0,0.06379631,Change Point,Shape,0.06379631,137,58089,*,*,*,29,*,*,88,-15.954214,32.466297
year,1989,PTS,0.974832692,0.06379631,Outlier,Shape,0.062190728,168,58089,*,*,*,29,*,*,89,-15.954037,32.466763
lg_name,NBA,PTS,0.926545432,0.06379631,Attribution,Point,0.059110179,248,58089,*,*,*,29,*,*,90,63.858406,20.431423
year,-1,AST,0.3707721129999999,0.06379631,Trend,Shape,0.023653893,315,58089,*,*,*,29,*,*,91,-65.71788,12.042998
